NEIGHBORHOOD NAME,Count
10 - Como,8674
11 - Hamline/Midway,13663
12 - St. Anthony,5244
13 - Union Park,20067
14 - Macalester-Groveland,7955
15 - Highland,10965
16 - Summit Hill,5602
17 - Capitol River,25570
1 - Conway/Battlecreek/Highwood,10959
2 - Greater East Side,13965
3 - West Side,14086
4 - Dayton's Bluff,13788
5 - Payne/Phalen,24763
6 - North End,20019
7 - Thomas/Dale(Frogtown),16816
8 - Summit/University,14540
9 - West Seventh,9523
Advised,1420
Gone on Arrival,62
Report Written,594
,2191
