longitude;latitude
-9.287.286;4.500.585
-9.287.927;4.499.488
-9.293.276;4.499.225
-9.287.797;449.948
-929.338;4.499.087
-928.781;4.500.315
-929.059;449.536
-929.059;449.536
-929.059;449.536
-929.059;449.536
-929.059;449.536
-929.059;449.536
-929.059;449.536
-929.059;449.536
-9.291.957;4.501.226
-929.059;449.536
-929.059;449.536
-929.059;449.536
-929.059;449.536
-929.059;449.536
-9.290.742;4.495.291
-9.290.755;4.495.282
-9.292.643;450.026
-9.289.822;4.500.089
-9.293.086;4.498.839
-9.290.793;4.495.296
-9.293.054;450.118
-9.293.761;4.500.575
-9.287.301;4.499.002
-9.290.752;4.495.306
-9.290.752;4.495.277
-9.287.064;4.498.894
-9.293.027;449.902
-9.290.793;4.495.287
-9.290.711;4.495.296
-9.294.587;4.503.293
-9.293.402;4.498.872
-9.292.597;4.500.932
-9.294.378;4.501.049
-929.377;4.500.827
-9.295.213;4.502.432
-9.285.804;4.502.692
-92.926;4.496.052
-9.286.762;4.501.049
-9.288.319;4.499.554
-9.288.319;4.499.554
-9.285.996;4.502.645
-9.288.054;4.496.454
-9.288.319;4.499.554
-9.285.942;4.502.584
-9.287.832;4.496.612
-9.288.319;4.499.554
-9.292.398;4.502.115
-929.345;4.503.083
-9.292.611;4.496.028
-9.293.157;4.496.094
null;null
-9.292.667;4.499.914
-9.288.319;4.499.554
-9.291.343;4.495.234
-9.293.686;4.501.318
-9.288.319;4.499.554
-9.288.319;4.499.554
-9.288.319;4.499.554
-9.292.167;4.495.432
null;null
-9.292.287;4.495.196
-9.293.138;4.496.094
-929.117;4.495.499
-9.294.249;450.341
-9.292.752;4.498.975
-9.292.861;4.501.167
-9.292.174;4.495.406
-9.288.319;4.499.554
-9.293.109;4.496.187
-9.292.075;4.495.413
-9.292.215;4.495.224
-9.293.197;4.496.141
-9.292.075;4.495.413
-9.290.394;4.495.878
-9.288.319;4.499.554
-929.216;4.495.226
-9.292.261;4.495.447
-9.286.367;4.501.752
-929.406;450.041
-9.286.622;4.501.081
-9.292.849;4.500.008
-9.291.079;4.495.401
null;null
-9.293.078;44.961
-9.287.895;4.500.833
-9.293.057;44.961
-9.292.058;4.496.091
-9.293.086;4.503.208
-9.292.453;4.496.063
-9.286.359;4.500.852
-929.287;4.500.268
-929.216;4.495.226
-9.294.402;4.503.097
-9.285.913;4.502.596
-9.290.396;4.495.849
-9.288.319;4.499.554
-9.288.319;4.499.554
-9.294.284;450.316
-9.287.577;4.499.238
-9.293.574;449.526
-9.293.136;4.496.199
-9.288.319;4.499.554
null;null
-9.287.017;450.125
-9.290.396;4.495.828
-9.293.202;449.612
-9.286.407;4.501.754
-9.288.117;4.500.709
-9.290.122;4.501.115
-9.293.176;4.496.214
-929.077;4.503.043
-9.286.253;4.501.624
-9.290.438;4.500.756
-9.292.176;4.495.223
-9.290.878;4.495.766
-9.292.486;4.496.096
-9.286.359;4.500.852
-9.288.013;4.500.877
-92.871;4.499.707
-9.292.157;449.546
-9.288.166;4.500.751
-9.289.093;4.501.106
-9.288.127;4.500.821
null;null
-9.291.022;4.495.548
null;null
null;null
-9.287.676;4.500.841
-9.288.166;4.500.751
-9.287.874;4.500.849
-9.286.511;450.177
-9.288.166;4.500.751
null;null
-9.292.038;4.497.133
-9.288.215;4.500.996
-9.289.603;450.115
-9.286.676;4.502.965
-9.292.058;4.496.091
-9.287.885;4.501.036
-9.290.888;450.138
-9.292.058;4.496.091
-9.286.579;4.503.068
-92.914;4.499.041
-9.293.499;4.501.447
-9.294.652;4.501.461
-9.287.963;4.497.013
-9.290.506;4.501.341
-9.290.933;4.503.049
-929.099;4.496.542
null;null
-9.299.587;4.493.091
-9.306.999;4.499.237
-9.300.354;4.499.329
null;null
-9.300.354;4.499.326
-9.300.057;4.493.031
-9.300.014;4.492.846
-9.306.934;4.499.274
-9.300.014;4.492.859
-9.300.715;4.499.855
-9.306.979;4.499.271
-9.300.203;449.301
-9.299.801;449.321
-9.299.819;4.493.095
-930.033;4.499.355
    -93.0;4.492.737
null;null
-9.306.947;4.499.323
-9.300.214;4.492.807
-9.303.835;4.501.071
-9.300.119;4.492.225
-9.298.941;4.497.931
-9.300.344;4.492.885
-9.300.233;449.267
-9.300.359;4.492.871
-9.308.777;4.500.494
-9.300.256;4.493.252
-9.300.004;4.492.181
-9.304.678;4.500.628
-9.300.002;4.490.392
-9.300.236;449.267
-9.303.358;4.501.386
-9.300.256;4.493.252
-930.838;4.500.172
-9.300.256;4.493.252
-9.299.434;4.497.569
-9.300.256;4.493.252
-9.303.292;4.503.633
-9.303.165;4.503.622
-9.303.208;4.503.625
-9.302.237;4.502.597
-9.300.001;4.492.221
-9.299.382;4.497.567
-9.299.819;4.493.095
-9.300.051;4.492.291
-9.300.287;4.492.775
-930.001;4.492.124
-9.303.247;4.503.624
-9.300.237;4.492.669
-9.308.152;4.499.946
-930.407;4.499.795
