latitude;longitude;walkscore;bikescore;;
4.492.635;-9.318.928;61;72;;
449.581;-9.317.982;74;83;;
4.493.788;-9.312.767;84;73;;
4.493.071;-9.309.431;48;60;;
4.497.547;-930.679;83;53;;
4.498.683;-9.303.703;37;48;;
4.497.599;-930.087;6;48;;
4.502.617;-9.297.972;30; null;;
4.489.481;-9.293.888;4; null;;
4.490.495;-9.291.649;3; null;;
4.487.344;-9.291.489;0; null;;
4.498.808;-9.314.601;63;66;;
4.497.113;-931.278;50;69;;
4.494.951;-9.312.778;81;63;;
4.492.445;-9.309.533;53;40;;
4.493.154;-9.309.249;54;56;;
449.294;-9.308.834;66;41;;
4.495.413;-9.305.891;56;55;;
4.501.304;-9.303.868;24; null;;
4.498.997;-9.302.857;70;58;;
4.498.947;-9.302.271;70;61;;
4.496.888;-9.301.244;34;55;;
4.497.731;-9.300.558;5;47;;
4.493.252;-9.300.256;19; null;;
4.495.665;-9.298.358;30; null;;
449.334;-9.295.342;38; null;;
4.492.373;-9.294.599;23; null;;
4.492.791;-9.294.168;13; null;;
449.336;-9.288.678;3; null;;
4.497.947;-931.949;71;76;;
4.490.357;-9.318.595;32;64;;
4.496.779;-9.318.131;37;63;;
4.492.013;-9.313.631;58;71;;
4.498.351;-9.313.327;24;51;;
4.497.294;-9.312.875;47;70;;
4.497.448;-9.309.804;53;69;;
4.497.932;-9.307.934;65;49;;
4.495.025;-9.305.866;56;68;;
449.487;-9.303.261;45;48;;
4.496.965;-9.302.772;50;42;;
4.498.996;-930.219;70;61;;
4.498.539;-9.301.985;54;62;;
4.496.466;-9.300.841;41;63;;
4.497.839;-9.300.689;3;46;;
4.494.721;-9.299.859;15; null;;
4.496.563;-9.299.732;29; null;;
4.492.572;-9.299.044;8; null;;
4.500.369;-9.298.308;9; null;;
4.499.864;-9.297.607;18; null;;
4.490.747;-929.718;22; null;;
4.489.874;-9.295.856;5; null;;
449.205;-9.295.216;40; null;;
449.744;-9.295.117;12; null;;
4.486.664;-9.295.116;0; null;;
4.490.028;-9.295.022;7; null;;
4.491.491;-9.294.936;14; null;;
4.496.756;-9.294.779;27; null;;
4.490.951;-9.294.257;7; null;;
4.498.975;-9.292.752;0; null;;
4.495.991;-9.317.686;78;83;;
4.492.856;-9.316.584;73;68;;
4.490.388;-9.316.279;63;63;;
4.495.761;-9.315.337;70;74;;
4.492.345;-9.313.596;65;64;;
449.822;-931.345;24;62;;
4.495.762;-931.305;80;71;;
4.496.917;-9.311.633;52;62;;
4.497.531;-9.308.502;57;59;;
4.499.656;-9.308.117;21; null;;
4.498.641;-9.307.255;51;57;;
4.500.534;-9.303.926;31; null;;
449.827;-9.297.025;3; null;;
4.500.517;-9.296.269;12; null;;
4.498.951;-9.296.209;13; null;;
4.489.668;-9.295.872;4; null;;
4.489.752;-92.942;4; null;;
4.493.218;-9.293.979;6; null;;
4.493.717;-9.288.715;3; null;;
4.490.501;-9.317.924;45;42;;
4.496.262;-9.317.558;72;82;;
4.492.896;-9.316.085;69;69;;
4.493.439;-9.313.708;65;58;;
4.492.484;-9.313.503;68;65;;
4.492.697;-9.310.442;49;48;;
4.499.033;-9.307.511;22;48;;
4.497.492;-9.307.475;83;48;;
4.492.109;-9.307.376;37;30;;
449.881;-9.304.671;27;59;;
4.496.319;-9.304.206;42;57;;
4.496.515;-9.303.562;37;40;;
4.495.686;-930.291;48;44;;
4.497.743;-930.276;54;54;;
4.497.909;-9.301.954;29;54;;
4.493.553;-9.294.941;41; null;;
4.494.438;-9.294.839;36; null;;
4.493.347;-92.885;2; null;;
449.306;-9.287.777;1; null;;
4.490.301;-9.287.726;10; null;;
4.495.323;-9.314.101;78;64;;
4.492.166;-9.313.741;58;68;;
4.492.527;-9.313.077;69;70;;
4.492.529;-9.312.867;66;77;;
4.494.531;-9.311.713;81;70;;
4.494.365;-9.310.935;75;64;;
4.496.766;-9.310.771;68;55;;
4.497.758;-9.306.851;82;53;;
4.494.879;-930.508;46;61;;
4.497.936;-9.305.042;59;71;;
4.500.401;-9.304.907;24; null;;
450.246;-9.301.581;46; null;;
4.497.501;-930.097;9;51;;
4.497.593;-9.300.828;6;48;;
4.492.885;-9.300.344;22; null;;
449.448;-9.299.416;13; null;;
4.490.736;-9.296.709;21; null;;
4.489.509;-9.295.132;4; null;;
4.487.294;-9.291.489;0; null;;
4.487.361;-9.291.249;0; null;;
4.492.152;-929.068;14; null;;
4.491.729;-928.868;11; null;;
4.491.569;-9.288.423;4; null;;
4.489.513;-9.288.347;1; null;;
4.493.003;-9.287.927;2; null;;
4.490.821;-9.318.477;41;61;;
4.496.785;-9.316.861;67;65;;
4.490.437;-9.316.231;61;66;;
4.498.616;-9.316.142;54;56;;
4.494.035;-9.315.957;74;74;;
4.498.583;-9.315.952;51;56;;
4.493.419;-931.512;53;63;;
4.493.331;-9.313.976;60;56;;
4.494.411;-9.312.237;84;65;;
4.493.605;-9.311.123;58;71;;
4.492.774;-9.310.442;42;44;;
4.493.859;-931.025;66;67;;
4.499.644;-9.309.536;28; null;;
4.497.755;-930.714;82;53;;
4.492.418;-9.306.879;23;22;;
4.498.997;-9.302.975;67;57;;
4.499.057;-9.302.106;69;61;;
4.491.174;-9.298.061;18; null;;
4.493.459;-9.297.666;30; null;;
4.496.131;-9.296.844;37; null;;
4.501.828;-9.296.684;9; null;;
4.497.037;-9.296.654;36; null;;
4.502.312;-929.558;1; null;;
4.491.034;-9.294.729;9; null;;
4.490.655;-9.287.053;11; null;;
4.490.304;-92.869;6; null;;
4.503.068;-9.286.579;9; null;;
4.494.757;-9.319.785;38;67;;
4.490.714;-931.789;39;35;;
4.494.405;-9.317.315;78;78;;
4.496.092;-9.315.541;63;73;;
449.459;-931.525;67;81;;
4.494.133;-9.314.192;88;73;;
4.498.981;-9.311.917;22;27;;
4.493.156;-9.309.259;54;56;;
4.500.508;-9.307.108;5; null;;
4.498.442;-9.306.713;63;65;;
449.732;-9.305.344;54;61;;
4.503.185;-9.303.366;50; null;;
4.494.779;-9.303.057;41;43;;
4.496.229;-9.302.673;44;52;;
4.496.287;-9.301.849;34;58;;
4.498.136;-9.301.136;12;51;;
4.497.657;-930.095;6;48;;
4.490.842;-9.297.602;21; null;;
4.492.186;-9.295.309;49; null;;
449.765;-9.295.079;9; null;;
4.488.072;-9.291.878;1; null;;
4.490.372;-9.288.992;2; null;;
4.489.541;-9.287.271;0; null;;
449.278;-9.287.209;0; null;;
4.493.452;-9.317.793;72;72;;
4.496.138;-9.315.556;63;73;;
4.492.533;-9.315.528;76;61;;
4.495.927;-9.314.816;65;68;;
4.497.761;-9.312.908;37;70;;
4.500.042;-930.726;13; null;;
44.953;-9.306.363;57;60;;
4.498.884;-9.304.418;35;55;;
449.795;-9.303.789;65;66;;
4.494.528;-9.303.202;19;32;;
4.497.011;-9.302.447;50;46;;
449.701;-9.301.075;22;53;;
4.503.325;-9.299.846;13; null;;
4.491.908;-9.299.758;2; null;;
4.492.157;-9.299.572;7; null;;
4.497.551;-9.298.899;45; null;;
4.490.762;-9.297.621;17; null;;
4.489.367;-9.295.458;4; null;;
4.492.318;-9.290.911;8; null;;
4.491.768;-9.287.831;5; null;;
4.491.262;-9.317.282;45;45;;
4.490.606;-9.315.378;28;52;;
4.499.573;-9.309.556;28; null;;
4.495.212;-9.309.167;95;56;;
4.502.209;-9.304.578;14; null;;
449.847;-9.304.278;48;65;;
4.491.926;-9.300.133;2; null;;
4.491.453;-9.298.628;5; null;;
4.489.073;-9.297.759;1; null;;
4.494.258;-9.297.498;20; null;;
4.490.759;-9.297.432;19; null;;
4.496.821;-9.297.324;22; null;;
4.489.985;-9.296.956;7; null;;
4.490.213;-9.296.732;14; null;;
4.501.804;-9.296.583;9; null;;
4.492.264;-929.208;21; null;;
4.489.568;-9.289.269;2; null;;
4.492.594;-9.319.032;56;76;;
4.491.696;-9.317.229;55;54;;
4.494.583;-9.316.826;83;80;;
4.498.563;-9.315.955;51;62;;
4.493.328;-9.311.574;55;73;;
449.442;-9.311.093;78;66;;
4.496.456;-9.309.689;57;54;;
4.492.647;-9.309.475;47;41;;
4.496.342;-930.762;79;78;;
4.496.777;-9.307.124;82;68;;
4.494.878;-9.305.722;58;70;;
4.503.359;-9.303.291;50; null;;
4.500.133;-9.302.762;17; null;;
4.498.392;-9.301.361;21;57;;
4.499.819;-930.098;24; null;;
4.496.416;-9.300.663;40;63;;
4.490.584;-9.295.998;18; null;;
4.495.525;-9.295.224;25; null;;
449.128;-9.291.743;7; null;;
449.536;-929.059;11; null;;
4.493.643;-9.290.444;28; null;;
4.492.883;-9.288.002;2; null;;
4.492.915;-9.287.838;1; null;;
4.496.725;-9.320.661;71;85;;
4.494.285;-9.318.391;70;75;;
4.494.834;-9.317.258;77;77;;
4.492.632;-931.683;69;67;;
449.839;-9.316.408;62;61;;
4.495.745;-9.315.388;72;76;;
4.495.325;-9.313.388;75;66;;
4.494.023;-9.312.666;87;74;;
4.493.326;-9.307.959;74;55;;
4.495.811;-9.307.824;71;65;;
4.497.314;-9.307.484;84;50;;
4.497.588;-930.648;81;53;;
4.498.026;-9.305.272;49;69;;
449.959;-9.304.301;29; null;;
4.496.933;-9.303.827;41;51;;
4.497.403;-9.302.899;47;47;;
449.593;-9.302.099;44;57;;
4.490.757;-9.297.429;19; null;;
4.501.858;-9.296.677;9; null;;
449.298;-9.292.893;28; null;;
449.274;-929.198;6; null;;
4.487.474;-9.291.114;0; null;;
4.493.739;-929.053;34; null;;
4.491.603;-9.290.124;17; null;;
449.189;-9.289.251;15; null;;
4.490.119;-9.287.365;6; null;;
4.493.254;-9.319.672;30;68;;
4.495.305;-9.318.838;53;70;;
449.027;-9.318.775;29;54;;
4.492.497;-9.316.834;65;64;;
4.492.626;-9.315.591;77;64;;
4.492.443;-9.315.222;70;59;;
4.495.798;-9.311.636;86;83;;
4.497.679;-9.311.474;52;51;;
4.492.504;-9.310.054;64;59;;
4.491.969;-9.307.952;57;39;;
4.498.985;-9.307.946;17;50;;
4.498.222;-9.306.493;70;73;;
4.495.419;-9.302.992;49;42;;
4.496.301;-9.302.873;43;52;;
4.498.558;-9.298.459;24; null;;
4.499.124;-9.297.405;5; null;;
4.497.852;-9.294.631;0; null;;
4.492.645;-9.293.763;34; null;;
4.486.956;-9.292.027;0; null;;
4.492.578;-9.291.731;5; null;;
4.493.386;-9.289.559;6; null;;
4.493.992;-9.289.184;30; null;;
4.489.605;-9.288.472;1; null;;
4.490.755;-9.286.903;10; null;;
4.493.695;-9.319.162;50;82;;
4.491.262;-9.317.091;42;43;;
449.628;-9.313.603;48;62;;
4.499.162;-9.313.364;28;44;;
4.493.348;-9.308.246;77;45;;
449.801;-9.308.018;57;47;;
4.499.361;-9.306.896;14; null;;
449.623;-9.303.153;38;47;;
4.497.336;-9.302.794;47;43;;
4.498.735;-9.302.685;71;58;;
4.496.798;-9.302.089;40;46;;
44.957;-9.301.732;54;58;;
4.501.975;-929.821;37; null;;
4.498.165;-9.296.965;3; null;;
4.489.238;-9.293.133;9; null;;
4.491.434;-9.289.271;5; null;;
4.493.739;-9.317.691;78;72;;
4.493.272;-9.315.696;63;69;;
449.884;-9.315.561;57;56;;
4.492.065;-9.313.993;57;69;;
4.495.235;-9.313.063;76;66;;
4.493.093;-9.313.054;61;73;;
4.498.777;-9.311.638;34;37;;
4.497.245;-9.310.584;69;52;;
44.916;-9.307.605;59; null;;
4.492.417;-9.307.044;28;26;;
4.501.891;-930.656;6; null;;
4.495.014;-9.304.911;42;65;;
4.501.951;-9.302.682;28; null;;
4.498.186;-9.301.801;33;58;;
4.496.822;-9.301.294;31;52;;
4.492.533;-9.298.985;8; null;;
4.498.018;-9.297.228;4; null;;
4.490.088;-929.685;11; null;;
4.501.893;-9.296.579;10; null;;
4.501.508;-9.294.905;0; null;;
4.491.673;-9.294.874;20; null;;
4.496.028;-9.292.611;6; null;;
4.494.201;-9.292.536;57; null;;
4.492.973;-9.291.065;7; null;;
4.489.972;-9.288.554;2; null;;
4.500.751;-9.288.166;17; null;;
4.497.898;-9.319.299;72;75;;
4.492.677;-9.319.181;54;78;;
4.493.072;-9.317.049;63;68;;
4.499.034;-9.315.296;67;54;;
4.496.097;-9.315.254;53;69;;
4.492.586;-9.315.195;73;65;;
4.496.095;-9.314.259;61;60;;
4.498.937;-9.313.141;20;41;;
4.495.845;-9.312.881;83;73;;
4.493.787;-9.312.588;82;73;;
4.495.674;-9.312.286;88;84;;
4.498.375;-9.312.016;34;46;;
4.499.807;-9.309.326;27; null;;
4.493.545;-9.308.777;59;51;;
4.492.925;-9.308.633;70;40;;
4.498.183;-9.306.526;74;68;;
4.497.925;-9.305.857;67;71;;
4.496.926;-9.305.777;66;61;;
4.498.582;-9.302.433;71;63;;
4.498.042;-9.302.148;37;57;;
4.498.269;-9.301.763;33;58;;
4.498.375;-930.144;27;58;;
4.495.853;-9.300.486;42;65;;
4.499.168;-9.300.367;28; null;;
4.492.255;-9.300.244;7; null;;
4.501.879;-9.296.389;9; null;;
4.494.427;-9.295.023;35; null;;
449.426;-9.295.007;36; null;;
4.494.323;-9.292.332;57; null;;
4.492.074;-9.291.859;11; null;;
4.487.144;-929.174;0; null;;
4.493.232;-9.289.699;7; null;;
4.490.492;-9.288.775;2; null;;
4.491.998;-928.642;0; null;;
4.493.444;-9.315.779;62;68;;
4.494.762;-9.314.622;75;69;;
449.894;-9.313.899;45;56;;
4.498.262;-9.312.015;32;45;;
4.494.439;-9.311.568;78;77;;
4.497.809;-9.308.278;65;55;;
4.497.855;-9.307.958;65;49;;
4.497.538;-9.303.849;66;69;;
449.524;-9.303.053;51;44;;
4.497.534;-9.302.667;47;50;;
4.496.507;-9.301.403;37;58;;
4.497.506;-9.301.228;13;50;;
4.497.398;-9.301.227;13;50;;
4.492.666;-9.299.156;9; null;;
4.491.018;-9.298.799;2; null;;
4.489.612;-9.297.173;3; null;;
4.495.641;-9.296.687;46; null;;
4.499.271;-9.295.664;3; null;;
4.496.896;-9.295.187;25; null;;
4.494.248;-9.289.455;48; null;;
4.493.974;-9.289.197;30; null;;
448.989;-9.288.456;3; null;;
4.498.894;-9.287.064;1; null;;
4.493.506;-9.316.015;63;67;;
4.495.941;-9.315.258;62;73;;
4.499.034;-9.314.135;59;53;;
4.493.963;-9.313.417;90;69;;
4.498.786;-9.312.879;19;39;;
4.492.151;-9.309.664;62;41;;
450.048;-9.306.991;5; null;;
4.498.187;-9.306.324;67;75;;
4.499.082;-9.305.125;22;57;;
4.503.197;-93.048;17; null;;
4.495.477;-9.304.132;29;43;;
4.496.214;-9.303.437;35;43;;
4.497.684;-9.303.017;57;53;;
4.497.887;-9.302.274;41;56;;
4.495.873;-9.301.943;47;56;;
4.489.644;-9.299.383;0; null;;
4.488.641;-9.294.929;10; null;;
4.494.391;-9.294.441;38; null;;
4.492.322;-9.291.379;7; null;;
4.490.492;-928.877;2; null;;
4.490.087;-9.288.449;2; null;;
4.489.125;-9.288.425;0; null;;
4.492.861;-9.317.908;57;72;;
4.494.647;-9.317.644;80;79;;
449.296;-9.315.613;72;69;;
4.493.781;-9.315.341;70; null;;
4.498.947;-9.314.852;72;63;;
4.494.508;-9.314.577;79;74;;
4.496.498;-9.314.189;38;63;;
4.499.711;-9.309.801;20; null;;
4.497.833;-9.308.153;62;49;;
4.498.735;-9.306.876;45;56;;
4.499.786;-930.407;30; null;;
4.495.969;-9.301.884;43;59;;
449.227;-9.300.643;1;27;;
4.490.579;-9.299.723;1; null;;
4.501.406;-9.298.269;40; null;;
4.497.057;-9.298.013;43; null;;
449.088;-9.297.602;21; null;;
4.497.969;-9.296.121;3; null;;
4.489.978;-9.295.668;5; null;;
4.489.933;-9.295.325;6; null;;
4.491.489;-9.291.927;16; null;;
44.914;-9.289.839;13; null;;
44.943;-9.289.798;53; null;;
4.489.941;-9.288.745;2; null;;
4.489.866;-92.871;3; null;;
4.493.227;-9.319.649;30;68;;
4.491.245;-931.852;69;56;;
4.492.135;-9.317.375;49;60;;
4.490.403;-9.316.324;63;63;;
4.492.859;-9.315.587;77;67;;
449.369;-9.315.251;64;69;;
4.494.161;-9.314.772;86;76;;
4.493.328;-9.311.578;55;73;;
4.492.329;-9.310.597;51;57;;
4.496.936;-9.309.462;24;56;;
4.495.032;-9.308.563;89;74;;
4.499.032;-9.304.932;18;56;;
4.491.828;-9.296.186;37; null;;
449.351;-9.295.101;36; null;;
4.491.453;-9.293.128;41; null;;
4.490.609;-9.293.076;5; null;;
4.489.291;-9.290.233;7; null;;
4.491.225;-9.289.445;7; null;;
449.173;-9.288.898;10; null;;
4.494.611;-9.318.235;73;77;;
4.494.129;-9.316.956;82;75;;
449.245;-9.316.936;62;64;;
449.878;-9.316.656;59;55;;
4.495.048;-9.316.571;77;80;;
4.496.279;-9.315.105;42;62;;
449.223;-9.314.233;53;64;;
449.457;-931.355;81;63;;
4.492.761;-9.313.127;68;70;;
4.492.377;-9.310.301;64;61;;
4.492.941;-931.008;46;60;;
4.499.618;-9.309.254;30; null;;
4.496.304;-9.308.376;56;63;;
4.496.226;-9.305.872;69;66;;
4.503.493;-9.305.174;2; null;;
449.496;-93.011;61;76;;
4.492.859;-9.300.014;17; null;;
4.498.704;-929.957;8; null;;
4.497.733;-9.297.437;3; null;;
4.496.352;-9.297.089;42; null;;
4.487.113;-9.290.914;0; null;;
4.495.296;-9.290.711;8; null;;
4.497.847;-9.316.411;61;70;;
4.493.598;-9.315.829;61;67;;
4.493.028;-9.315.027;57;68;;
4.496.017;-9.315.002;62;69;;
   44.99;-9.311.852;22;27;;
4.496.095;-9.311.846;77;78;;
4.497.838;-9.311.368;47;49;;
449.291;-9.310.387;42;45;;
4.492.124;-930.001;3; null;;
4.491.582;-9.299.002;2; null;;
4.502.894;-9.298.296;27; null;;
4.500.421;-9.297.963;18; null;;
4.490.813;-9.297.756;17; null;;
4.491.016;-9.297.604;23; null;;
4.492.067;-9.295.409;36; null;;
4.489.356;-9.293.941;4; null;;
4.493.278;-9.293.155;45; null;;
448.781;-9.291.962;0; null;;
4.488.469;-9.291.817;2; null;;
4.493.242;-9.290.052;9; null;;
450.115;-9.289.603;0; null;;
4.489.104;-9.288.705;0; null;;
4.489.508;-9.287.573;1; null;;
4.491.968;-9.317.604;59;58;;
4.491.411;-931.731;47;47;;
4.492.309;-9.316.744;60;62;;
44.943;-9.315.569;73;81;;
449.459;-9.315.544;66;83;;
4.496.321;-9.315.253;45;65;;
4.493.619;-9.314.982;54;58;;
4.497.261;-9.308.126;68;49;;
4.500.711;-9.308.012;13; null;;
4.497.865;-9.306.777;79;56;;
4.495.597;-9.302.232;54;48;;
4.498.814;-9.301.928;63;65;;
4.496.692;-9.301.657;38;52;;
4.498.905;-9.297.434;4; null;;
4.498.674;-9.296.615;9; null;;
4.496.965;-9.295.264;26; null;;
44.893;-9.294.957;5; null;;
4.489.301;-9.294.073;4; null;;
44.914;-9.291.835;16; null;;
4.493.313;-9.317.618;67;72;;
4.490.235;-9.316.055;51;60;;
4.496.463;-9.315.043;38;64;;
4.497.401;-9.313.979;40;73;;
4.497.448;-9.312.866;39;72;;
4.495.099;-9.312.862;75;65;;
4.495.482;-9.311.729;87;83;;
4.497.819;-9.306.167;77;60;;
4.503.079;-9.305.258;4; null;;
4.495.581;-9.303.445;36;40;;
449.809;-9.302.817;50;49;;
44.976;-9.299.319;34; null;;
449.128;-9.298.846;5; null;;
4.491.411;-9.298.638;5; null;;
